Temps;ax;ay;az;gx;gy;gz
5480;-0.9512;0.0308;-0.0840;-0.5488;-0.5488;-0.5488
5490;-0.9604;0.0269;-0.0913;-1.2805;-1.2805;-1.2805
5500;-0.9473;0.0200;-0.0850;-3.3537;-3.3537;-3.3537
5510;-0.9448;0.0293;-0.0879;-3.0488;-3.0488;-3.0488
5520;-0.9473;0.0391;-0.0776;-2.1951;-2.1951;-2.1951
5530;-0.9565;0.0361;-0.0840;-2.0122;-2.0122;-2.0122
5540;-0.9570;0.0278;-0.0811;-3.1707;-3.1707;-3.1707
5550;-0.9404;0.0264;-0.0854;-3.1707;-3.1707;-3.1707
5560;-0.9414;0.0381;-0.0889;-1.7073;-1.7073;-1.7073
5570;-0.9536;0.0308;-0.0894;-0.9146;-0.9146;-0.9146
5580;-0.9546;0.0239;-0.0928;-2.0732;-2.0732;-2.0732
5590;-0.9409;0.0171;-0.0859;-2.9878;-2.9878;-2.9878
5600;-0.9351;0.0317;-0.0806;-2.0732;-2.0732;-2.0732
5610;-0.9502;0.0303;-0.0747;-2.1341;-2.1341;-2.1341
5620;-0.9482;0.0298;-0.0757;-1.3415;-1.3415;-1.3415
5630;-0.9409;0.0264;-0.0889;-0.9146;-0.9146;-0.9146
5640;-0.9434;0.0347;-0.0747;-0.4268;-0.4268;-0.4268
5650;-0.9492;0.0317;-0.0869;-0.3049;-0.3049;-0.3049
5660;-0.9507;0.0254;-0.0757;-1.3415;-1.3415;-1.3415
5670;-0.9478;0.0308;-0.0845;-2.2561;-2.2561;-2.2561
5680;-0.9429;0.0288;-0.0825;-2.0732;-2.0732;-2.0732
5690;-0.9487;0.0244;-0.0879;-0.9756;-0.9756;-0.9756
5700;-0.9453;0.0264;-0.0801;-0.9146;-0.9146;-0.9146
5710;-0.9551;0.0269;-0.0898;-1.0366;-1.0366;-1.0366
5720;-0.9536;0.0269;-0.0923;-1.4024;-1.4024;-1.4024
5730;-0.9570;0.0322;-0.0845;-1.7683;-1.7683;-1.7683
5740;-0.9546;0.0239;-0.0757;-1.9512;-1.9512;-1.9512
5750;-0.9541;0.0288;-0.0806;-1.8902;-1.8902;-1.8902
5760;-0.9482;0.0264;-0.0894;-1.6463;-1.6463;-1.6463
5770;-0.9438;0.0317;-0.0854;-1.7073;-1.7073;-1.7073
5780;-0.9497;0.0386;-0.0845;-1.8293;-1.8293;-1.8293
5790;-0.9453;0.0347;-0.0771;-0.6707;-0.6707;-0.6707
5800;-0.9468;0.0317;-0.0908;-0.4878;-0.4878;-0.4878
5810;-0.9404;0.0327;-0.0786;-0.9146;-0.9146;-0.9146
5820;-0.9429;0.0332;-0.0952;-0.3659;-0.3659;-0.3659
5830;-0.9404;0.0322;-0.0781;0.2439;0.2439;0.2439
5840;-0.9434;0.0264;-0.0854;0.0000;0.0000;0.0000
5850;-0.9414;0.0259;-0.0781;0.0000;0.0000;0.0000
5860;-0.9492;0.0210;-0.0854;0.2439;0.2439;0.2439
5870;-0.9458;0.0298;-0.0845;-0.6098;-0.6098;-0.6098
5880;-0.9399;0.0430;-0.0806;-0.9146;-0.9146;-0.9146
5890;-0.9482;0.0400;-0.0845;-1.2805;-1.2805;-1.2805
5900;-0.9482;0.0273;-0.0913;-2.7439;-2.7439;-2.7439
5910;-0.9487;0.0273;-0.1045;-5.2439;-5.2439;-5.2439
5920;-0.9395;0.0264;-0.1069;-9.6951;-9.6951;-9.6951
5931;-0.9565;0.0063;-0.1025;-14.8171;-14.8171;-14.8171
5941;-0.9590;0.0127;-0.0864;-15.8537;-15.8537;-15.8537
5951;-0.9429;0.0020;-0.1235;-16.2805;-16.2805;-16.2805
5961;-0.9688;-0.0029;-0.0825;-13.9634;-13.9634;-13.9634
5971;-0.9658;-0.0044;-0.0830;-9.8780;-9.8780;-9.8780
5981;-0.9419;0.0010;-0.0679;-6.5244;-6.5244;-6.5244
5991;-0.9341;0.0137;-0.0620;-3.4146;-3.4146;-3.4146
6001;-0.9419;0.0234;-0.0391;0.1829;0.1829;0.1829
6011;-0.9351;0.0288;-0.0186;1.5854;1.5854;1.5854
6021;-0.9678;0.0347;0.0352;1.7073;1.7073;1.7073
6031;-1.0513;-0.0132;0.1455;13.7805;13.7805;13.7805
6041;-1.0898;-0.0835;0.3540;45.6707;45.6707;45.6707
6051;-1.0415;-0.2095;0.5254;81.4634;81.4634;81.4634
6061;-0.8843;-0.2222;0.6445;92.2561;92.2561;92.2561
