time,ax,ay,az,gx,gy,gz
142823,-10,-47,4129,-60,-13,-15
142825,-10,-82,4122,-58,-7,-14
142827,16,-81,4140,-57,-13,-17
142829,-15,-61,4097,-52,-14,-15
142831,-15,-86,4116,-54,-9,-15
142833,-39,-64,4144,-53,-7,-18
142835,0,-79,4166,-55,-11,-16
142837,-16,-77,4168,-52,-8,-5
142839,-116,259,4137,-149,-29,-10
142841,168,-400,4187,-61,-29,-24
142843,-2,-136,4175,32,-4,-26
142845,52,-120,4146,46,-1,-27
142847,-65,49,4170,3,-13,-24
142849,-3,-30,4160,-62,-11,-20
142851,-15,6,4139,-87,-26,-12
142972,12,-41,4123,-24,-6,-15
142974,3,-74,4127,-22,-5,-16
142976,-11,-61,4127,-31,-8,-19
142978,-5,-60,4153,-36,-9,-23
142980,-13,-59,4128,-42,-11,-21
142982,12,-75,4116,-49,-17,-19
142984,-40,-41,4157,-43,-14,-21
142986,-9,-77,4142,-33,-9,-18
142988,-5,-67,4126,-37,-14,-16
142990,-18,-47,4182,-44,-9,-21
142992,2,-49,4163,-37,-8,-18
142994,-7,-53,4146,-40,-10,-18
142996,-7,-55,4167,-40,-7,-17
142998,-24,-70,4127,-42,-8,-16
143000,-22,-45,4156,-44,-11,-15
143002,-17,-45,4151,-46,-10,-15
143004,-1,-61,4160,-48,-11,-16
143006,-14,-46,4107,-50,-10,-16
143008,-21,-69,4128,-50,-11,-15
143010,-16,-56,4152,-52,-10,-14
143012,-11,-23,4118,-49,-14,-28
143014,6,-58,4138,-56,-7,-15
143016,4,-60,4142,-55,-2,-18
143018,8,-59,4118,-54,-6,-19
143020,-4,-72,4133,-58,-11,-9
143022,-15,-59,4128,-50,-5,-12
143024,3,-59,4142,-57,-8,-8
143026,2,-53,4165,-59,-9,-16
143028,-10,-80,4115,-57,-8,-18
143030,-6,-65,4131,-52,-9,-20
143032,-9,-56,4109,-53,0,-12
143034,-9,-71,4136,-56,-6,-13
143036,25,-34,4141,-51,-10,-11
143038,14,-38,4123,-56,-11,-15
143040,-2,-59,4121,-56,2,-18
143042,9,-57,4160,-54,-1,-15
143044,-11,-62,4144,-55,0,-11
143046,-23,-51,4169,-50,1,-13
143048,15,-42,4168,-41,-2,-8
143050,2,-39,4163,-49,1,-20
143052,25,-66,4161,-43,9,-15
143054,17,-41,4146,-45,4,-11
143056,29,-58,4143,-51,5,-13
143058,25,-58,4157,-42,9,-17
143060,18,-58,4139,-36,10,-10
143062,-9,-71,4118,-41,11,-15
143064,23,-85,4139,-40,8,-10
143066,4,-61,4125,-38,6,-8
143068,18,-70,4135,-35,8,-17
143070,-21,-60,4166,-39,9,-11
143072,2,-78,4126,-36,13,-11
143074,5,-61,4116,-38,9,-12
143076,6,-62,4128,-33,12,-10
143078,-11,-79,4154,-35,8,-12
143080,-11,-72,4164,-30,6,-11
143082,-3,-86,4187,-30,10,-7
143084,5,-80,4143,-31,5,-15
143086,-2,-92,4141,-24,4,-22
143088,-18,-72,4155,-22,7,-12
143090,-15,-62,4139,-23,-1,-19
143092,-38,-58,4135,-21,-1,-16
143094,-22,-64,4121,-17,1,-13
143096,-34,-77,4152,-5,4,-16
143098,-44,-99,4162,2,0,-18
143100,-32,-79,4154,5,3,-18
143102,-8,-53,4137,-1,0,-21
143104,-26,-89,4155,9,2,-17
143106,-9,-79,4127,8,3,-17
143108,-2,-88,4144,13,4,-15
143110,-4,-96,4185,15,1,-23
143112,-3,-91,4173,20,3,-25
